;preposition;Example;regular/irregular;Presente;;;;;;Pretérito Perfeito;;;;;;Pretérito Imperfeito;;;;;;Pretérito mais-que-perfeito;;;;;;Futuro do Presente;;;;;;Subjuntivo Presente;;;;;;Subjuntivo Pretérito Imperfeito;;;;;;Subjuntivo Futuro;;;;;;Infinitivo Pessoal;;;;;;Futuro do Pretérito;;;;;;Imperativo Afirmativo;;;;;Imperativo Negativo;;;;;Gerúndio;Particípio passado
ocorrer;;;R;ocorro;ocorres;ocorre;ocorremos;ocorreis;ocorrem;ocorri;ocorreste;ocorreu;ocorremos;ocorrestes;ocorreram;ocorria;ocorrias;ocorria;ocorríamos;ocorríeis;ocorriam;ocorrera;ocorreras;ocorrera;ocorrêramos;ocorrêreis;ocorreram;ocorrerei;ocorrerás;ocorrerá;ocorreremos;ocorrereis;ocorrerão;ocorra;ocorras;ocorra;ocorramos;ocorrais;ocorram;ocorresse;ocorresses;ocorresse;ocorrêssemos;ocorrêsseis;ocorressem;ocorrer;ocorreres;ocorrer;ocorrermos;ocorrerdes;ocorrerem;ocorrer;ocorreres;ocorrer;ocorrermos;ocorrerdes;ocorrerem;ocorreria;ocorrerias;ocorreria;ocorreríamos;ocorreríeis;ocorreriam;ocorre;ocorra;ocorramos;ocorrei;ocorram;ocorras;ocorra;ocorramos;ocorrais;ocorram;ocorrendo;ocorrido
mostrar;;Um dia eu mostro os vídeos a você.;R;mostro;mostras;mostra;mostramos;mostrais;mostram;mostrei;mostraste;mostrou;mostrámos;mostrastes;mostraram;mostrava;mostravas;mostrava;mostrávamos;mostráveis;mostravam;mostrara;mostraras;mostrara;mostráramos;mostráreis;mostraram;mostrarei;mostrarás;mostrará;mostraremos;mostrareis;mostrarão;mostre;mostres;mostre;mostremos;mostreis;mostrem;mostrasse;mostrasses;mostrasse;mostrássemos;mostrásseis;mostrassem;mostrar;mostrares;mostrar;mostrarmos;mostrardes;mostrarem;mostrar;mostrares;mostrar;mostrarmos;mostrardes;mostrarem;mostraria;mostrarias;mostraria;mostraríamos;mostraríeis;mostrariam;mostra;mostre;mostremos;mostrai;mostrem;mostres;mostre;mostremos;mostreis;mostrem;mostrando;mostrado
lembrar;;;R;lembro;lembras;lembra;lembramos;lembrais;lembram;lembrei;lembraste;lembrou;lembrámos;lembrastes;lembraram;lembrava;lembravas;lembrava;lembrávamos;lembráveis;lembravam;lembrara;lembraras;lembrara;lembráramos;lembráreis;lembraram;lembrarei;lembrarás;lembrará;lembraremos;lembrareis;lembrarão;lembre;lembres;lembre;lembremos;lembreis;lembrem;lembrasse;lembrasses;lembrasse;lembrássemos;lembrásseis;lembrassem;lembrar;lembrares;lembrar;lembrarmos;lembrardes;lembrarem;lembrar;lembrares;lembrar;lembrarmos;lembrardes;lembrarem;lembraria;lembrarias;lembraria;lembraríamos;lembraríeis;lembrariam;lembra;lembre;lembremos;lembrai;lembrem;lembres;lembre;lembremos;lembreis;lembrem;lembrando;lembrado
trazer;;;I;trago;trazes;traz;trazemos;trazeis;trazem;trouxe;trouxeste;trouxe;trouxemos;trouxestes;trouxeram;trazia;trazias;trazia;trazíamos;trazíeis;traziam;trouxera;trouxeras;trouxera;trouxéramos;trouxéreis;trouxeram;trarei;trarás;trará;traremos;trareis;trarão;traga;tragas;traga;tragamos;tragais;tragam;trouxesse;trouxesses;trouxesse;trouxéssemos;trouxésseis;trouxessem;trouxer;trouxeres;trouxer;trouxermos;trouxerdes;trouxerem;trazer;trazeres;trazer;trazermos;trazerdes;trazerem;traria;trarias;traria;traríamos;traríeis;trariam;traze;traga;tragamos;trazei;tragam;tragas;traga;tragamos;tragais;tragam;trazendo;trazido
procurar;;;R;procuro;procuras;procura;procuramos;procurais;procuram;procurei;procuraste;procurou;procurámos;procurastes;procuraram;procurava;procuravas;procurava;procurávamos;procuráveis;procuravam;procurara;procuraras;procurara;procuráramos;procuráreis;procuraram;procurarei;procurarás;procurará;procuraremos;procurareis;procurarão;procure;procures;procure;procuremos;procureis;procurem;procurasse;procurasses;procurasse;procurássemos;procurásseis;procurassem;procurar;procurares;procurar;procurarmos;procurardes;procurarem;procurar;procurares;procurar;procurarmos;procurardes;procurarem;procuraria;procurarias;procuraria;procuraríamos;procuraríeis;procurariam;procura;procure;procuremos;procurai;procurem;procures;procure;procuremos;procureis;procurem;procurando;procurado
morrer;;;I;morro;morres;morre;morremos;morreis;morrem;morri;morreste;morreu;morremos;morrestes;morreram;morria;morrias;morria;morríamos;morríeis;morriam;morrera;morreras;morrera;morrêramos;morrêreis;morreram;morrerei;morrerás;morrerá;morreremos;morrereis;morrerão;morra;morras;morra;morramos;morrais;morram;morresse;morresses;morresse;morrêssemos;morrêsseis;morressem;morrer;morreres;morrer;morrermos;morrerdes;morrerem;morrer;morreres;morrer;morrermos;morrerdes;morrerem;morreria;morrerias;morreria;morreríamos;morreríeis;morreriam;morre;morra;morramos;morrei;morram;morras;morra;morramos;morrais;morram;morrendo;morrido|morto
tentar;;;R;tento;tentas;tenta;tentamos;tentais;tentam;tentei;tentaste;tentou;tentámos;tentastes;tentaram;tentava;tentavas;tentava;tentávamos;tentáveis;tentavam;tentara;tentaras;tentara;tentáramos;tentáreis;tentaram;tentarei;tentarás;tentará;tentaremos;tentareis;tentarão;tente;tentes;tente;tentemos;tenteis;tentem;tentasse;tentasses;tentasse;tentássemos;tentásseis;tentassem;tentar;tentares;tentar;tentarmos;tentardes;tentarem;tentar;tentares;tentar;tentarmos;tentardes;tentarem;tentaria;tentarias;tentaria;tentaríamos;tentaríeis;tentariam;tenta;tente;tentemos;tentai;tentem;tentes;tente;tentemos;tenteis;tentem;tentando;tentado
formar;;;R;formo;formas;forma;formamos;formais;formam;formei;formaste;formou;formámos;formastes;formaram;formava;formavas;formava;formávamos;formáveis;formavam;formara;formaras;formara;formáramos;formáreis;formaram;formarei;formarás;formará;formaremos;formareis;formarão;forme;formes;forme;formemos;formeis;formem;formasse;formasses;formasse;formássemos;formásseis;formassem;formar;formares;formar;formarmos;formardes;formarem;formar;formares;formar;formarmos;formardes;formarem;formaria;formarias;formaria;formaríamos;formaríeis;formariam;forma;forme;formemos;formai;formem;formes;forme;formemos;formeis;formem;formando;formado
aparecer;;;R;apareço;apareces;aparece;aparecemos;apareceis;aparecem;apareci;apareceste;apareceu;aparecemos;aparecestes;apareceram;aparecia;aparecias;aparecia;aparecíamos;aparecíeis;apareciam;aparecera;apareceras;aparecera;aparecêramos;aparecêreis;apareceram;aparecerei;aparecerás;aparecerá;apareceremos;aparecereis;aparecerão;apareça;apareças;apareça;apareçamos;apareçais;apareçam;aparecesse;aparecesses;aparecesse;aparecêssemos;aparecêsseis;aparecessem;aparecer;apareceres;aparecer;aparecermos;aparecerdes;aparecerem;aparecer;apareceres;aparecer;aparecermos;aparecerdes;aparecerem;apareceria;aparecerias;apareceria;apareceríamos;apareceríeis;apareceriam;aparece;apareça;apareçamos;aparecei;apareçam;apareças;apareça;apareçamos;apareçais;apareçam;aparecendo;aparecido
incluir;;;I;incluo;incluis;inclui;incluímos;incluís;incluem;incluí;incluíste;incluiu;incluímos;incluístes;incluíram;incluía;incluías;incluía;incluíamos;incluíeis;incluíam;incluíra;incluíras;incluíra;incluíramos;incluíreis;incluíram;incluirei;incluirás;incluirá;incluiremos;incluireis;incluirão;inclua;incluas;inclua;incluamos;incluais;incluam;incluísse;incluísses;incluísse;incluíssemos;incluísseis;incluíssem;incluir;incluíres;incluir;incluirmos;incluirdes;incluírem;incluir;incluíres;incluir;incluirmos;incluirdes;incluírem;incluiria;incluirias;incluiria;incluiríamos;incluiríeis;incluiriam;inclui;inclua;incluamos;incluí;incluam;incluas;inclua;incluamos;incluais;incluam;incluindo;incluído
correr;;;R;corro;corres;corre;corremos;correis;correm;corri;correste;correu;corremos;correstes;correram;corria;corrias;corria;corríamos;corríeis;corriam;correra;correras;correra;corrêramos;corrêreis;correram;correrei;correrás;correrá;correremos;correreis;correrão;corra;corras;corra;corramos;corrais;corram;corresse;corresses;corresse;corrêssemos;corrêsseis;corressem;correr;correres;correr;corrermos;correrdes;correrem;correr;correres;correr;corrermos;correrdes;correrem;correria;correrias;correria;correríamos;correríeis;correriam;corre;corra;corramos;correi;corram;corras;corra;corramos;corrais;corram;correndo;corrido
ganhar;;;R;ganho;ganhas;ganha;ganhamos;ganhais;ganham;ganhei;ganhaste;ganhou;ganhámos;ganhastes;ganharam;ganhava;ganhavas;ganhava;ganhávamos;ganháveis;ganhavam;ganhara;ganharas;ganhara;ganháramos;ganháreis;ganharam;ganharei;ganharás;ganhará;ganharemos;ganhareis;ganharão;ganhe;ganhes;ganhe;ganhemos;ganheis;ganhem;ganhasse;ganhasses;ganhasse;ganhássemos;ganhásseis;ganhassem;ganhar;ganhares;ganhar;ganharmos;ganhardes;ganharem;ganhar;ganhares;ganhar;ganharmos;ganhardes;ganharem;ganharia;ganharias;ganharia;ganharíamos;ganharíeis;ganhariam;ganha;ganhe;ganhemos;ganhai;ganhem;ganhes;ganhe;ganhemos;ganheis;ganhem;ganhando;ganhado
surgir;;;R;surjo;surges;surge;surgimos;surgis;surgem;surgi;surgiste;surgiu;surgimos;surgistes;surgiram;surgia;surgias;surgia;surgíamos;surgíeis;surgiam;surgira;surgiras;surgira;surgíramos;surgíreis;surgiram;surgirei;surgirás;surgirá;surgiremos;surgireis;surgirão;surja;surjas;surja;surjamos;surjais;surjam;surgisse;surgisses;surgisse;surgíssemos;surgísseis;surgissem;surgir;surgires;surgir;surgirmos;surgirdes;surgirem;surgir;surgires;surgir;surgirmos;surgirdes;surgirem;surgiria;surgirias;surgiria;surgiríamos;surgiríeis;surgiriam;surge;surja;surjamos;surgi;surjam;surjas;surja;surjamos;surjais;surjam;surgindo;surgido
nascer;;;R;nasço;nasces;nasce;nascemos;nasceis;nascem;nasci;nasceste;nasceu;nascemos;nascestes;nasceram;nascia;nascias;nascia;nascíamos;nascíeis;nasciam;nascera;nasceras;nascera;nascêramos;nascêreis;nasceram;nascerei;nascerás;nascerá;nasceremos;nascereis;nascerão;nasça;nasças;nasça;nasçamos;nasçais;nasçam;nascesse;nascesses;nascesse;nascêssemos;nascêsseis;nascessem;nascer;nasceres;nascer;nascermos;nascerdes;nascerem;nascer;nasceres;nascer;nascermos;nascerdes;nascerem;nasceria;nascerias;nasceria;nasceríamos;nasceríeis;nasceriam;nasce;nasça;nasçamos;nascei;nasçam;nasças;nasça;nasçamos;nasçais;nasçam;nascendo;nascido
pagar;;Esse serviço paga bem.;I;pago;pagas;paga;pagamos;pagais;pagam;paguei;pagaste;pagou;pagámos;pagastes;pagaram;pagava;pagavas;pagava;pagávamos;pagáveis;pagavam;pagara;pagaras;pagara;pagáramos;pagáreis;pagaram;pagarei;pagarás;pagará;pagaremos;pagareis;pagarão;pague;pagues;pague;paguemos;pagueis;paguem;pagasse;pagasses;pagasse;pagássemos;pagásseis;pagassem;pagar;pagares;pagar;pagarmos;pagardes;pagarem;pagar;pagares;pagar;pagarmos;pagardes;pagarem;pagaria;pagarias;pagaria;pagaríamos;pagaríeis;pagariam;paga;pague;paguemos;pagai;paguem;pagues;pague;paguemos;pagueis;paguem;pagando;pagado
representar;;;R;represento;representas;representa;representamos;representais;representam;representei;representaste;representou;representámos;representastes;representaram;representava;representavas;representava;representávamos;representáveis;representavam;representara;representaras;representara;representáramos;representáreis;representaram;representarei;representarás;representará;representaremos;representareis;representarão;represente;representes;represente;representemos;representeis;representem;representasse;representasses;representasse;representássemos;representásseis;representassem;representar;representares;representar;representarmos;representardes;representarem;representar;representares;representar;representarmos;representardes;representarem;representaria;representarias;representaria;representaríamos;representaríeis;representariam;representa;represente;representemos;representai;representem;representes;represente;representemos;representeis;representem;representando;representado
entender;;Você entende?;R;entendo;entendes;entende;entendemos;entendeis;entendem;entendi;entendeste;entendeu;entendemos;entendestes;entenderam;entendia;entendias;entendia;entendíamos;entendíeis;entendiam;entendera;entenderas;entendera;entendêramos;entendêreis;entenderam;entenderei;entenderás;entenderá;entenderemos;entendereis;entenderão;entenda;entendas;entenda;entendamos;entendais;entendam;entendesse;entendesses;entendesse;entendêssemos;entendêsseis;entendessem;entender;entenderes;entender;entendermos;entenderdes;entenderem;entender;entenderes;entender;entendermos;entenderdes;entenderem;entenderia;entenderias;entenderia;entenderíamos;entenderíeis;entenderiam;entende;entenda;entendamos;entendei;entendam;entendas;entenda;entendamos;entendais;entendam;entendendo;entendido
produzir;;;I;produzo;produzes;produz;produzimos;produzis;produzem;produzi;produziste;produziu;produzimos;produzistes;produziram;produzia;produzias;produzia;produzíamos;produzíeis;produziam;produzira;produziras;produzira;produzíramos;produzíreis;produziram;produzirei;produzirás;produzirá;produziremos;produzireis;produzirão;produza;produzas;produza;produzamos;produzais;produzam;produzisse;produzisses;produzisse;produzíssemos;produzísseis;produzissem;produzir;produzires;produzir;produzirmos;produzirdes;produzirem;produzir;produzires;produzir;produzirmos;produzirdes;produzirem;produziria;produzirias;produziria;produziríamos;produziríeis;produziriam;produze;produza;produzamos;produzi;produzam;produzas;produza;produzamos;produzais;produzam;produzindo;produzido
precisar;;Eu preciso falar com você.;R;preciso;precisas;precisa;precisamos;precisais;precisam;precisei;precisaste;precisou;precisámos;precisastes;precisaram;precisava;precisavas;precisava;precisávamos;precisáveis;precisavam;precisara;precisaras;precisara;precisáramos;precisáreis;precisaram;precisarei;precisarás;precisará;precisaremos;precisareis;precisarão;precise;precises;precise;precisemos;preciseis;precisem;precisasse;precisasses;precisasse;precisássemos;precisásseis;precisassem;precisar;precisares;precisar;precisarmos;precisardes;precisarem;precisar;precisares;precisar;precisarmos;precisardes;precisarem;precisaria;precisarias;precisaria;precisaríamos;precisaríeis;precisariam;precisa;precise;precisemos;precisai;precisem;precises;precise;precisemos;preciseis;precisem;precisando;precisado
perguntar;;;R;pergunto;perguntas;pergunta;perguntamos;perguntais;perguntam;perguntei;perguntaste;perguntou;perguntámos;perguntastes;perguntaram;perguntava;perguntavas;perguntava;perguntávamos;perguntáveis;perguntavam;perguntara;perguntaras;perguntara;perguntáramos;perguntáreis;perguntaram;perguntarei;perguntarás;perguntará;perguntaremos;perguntareis;perguntarão;pergunte;perguntes;pergunte;perguntemos;pergunteis;perguntem;perguntasse;perguntasses;perguntasse;perguntássemos;perguntásseis;perguntassem;perguntar;perguntares;perguntar;perguntarmos;perguntardes;perguntarem;perguntar;perguntares;perguntar;perguntarmos;perguntardes;perguntarem;perguntaria;perguntarias;perguntaria;perguntaríamos;perguntaríeis;perguntariam;pergunta;pergunte;perguntemos;perguntai;perguntem;perguntes;pergunte;perguntemos;pergunteis;perguntem;perguntando;perguntado
constituir;;;R;constituo;constitues;constitue;constituimos;constituis;constituem;constitui;constituiste;constituiu;constituimos;constituistes;constituiram;constituia;constituias;constituia;constituíamos;constituíeis;constituiam;constituira;constituiras;constituira;constituíramos;constituíreis;constituiram;constituirei;constituirás;constituirá;constituiremos;constituireis;constituirão;constitua;constituas;constitua;constituamos;constituais;constituam;constituisse;constituisses;constituisse;constituíssemos;constituísseis;constituissem;constituir;constituires;constituir;constituirmos;constituirdes;constituirem;constituir;constituires;constituir;constituirmos;constituirdes;constituirem;constituiria;constituirias;constituiria;constituiríamos;constituiríeis;constituiriam;constitue;constitua;constituamos;constitui;constituam;constituas;constitua;constituamos;constituais;constituam;constituindo;constituido
colocar;;;R;coloco;colocas;coloca;colocamos;colocais;colocam;coloquei;colocaste;colocou;coloquámos;colocastes;colocaram;colocava;colocavas;colocava;coloquávamos;coloquáveis;colocavam;colocara;colocaras;colocara;coloquáramos;coloquáreis;colocaram;colocarei;colocarás;colocará;colocaremos;colocareis;colocarão;coloque;coloques;coloque;coloquemos;coloqueis;coloquem;colocasse;colocasses;colocasse;coloquássemos;coloquásseis;colocassem;colocar;colocares;colocar;colocarmos;colocardes;colocarem;colocar;colocares;colocar;colocarmos;colocardes;colocarem;colocaria;colocarias;colocaria;colocaríamos;colocaríeis;colocariam;coloca;coloque;coloquemos;colocai;coloquem;coloques;coloque;coloquemos;coloqueis;coloquem;colocando;colocado
possuir;;;R;possuo;possues;possue;possuimos;possuis;possuem;possui;possuiste;possuiu;possuimos;possuistes;possuiram;possuia;possuias;possuia;possuíamos;possuíeis;possuiam;possuira;possuiras;possuira;possuíramos;possuíreis;possuiram;possuirei;possuirás;possuirá;possuiremos;possuireis;possuirão;possua;possuas;possua;possuamos;possuais;possuam;possuisse;possuisses;possuisse;possuíssemos;possuísseis;possuissem;possuir;possuires;possuir;possuirmos;possuirdes;possuirem;possuir;possuires;possuir;possuirmos;possuirdes;possuirem;possuiria;possuirias;possuiria;possuiríamos;possuiríeis;possuiriam;possue;possua;possuamos;possui;possuam;possuas;possua;possuamos;possuais;possuam;possuindo;possuido
servir;;;I;sirvo;serves;serve;servimos;servis;servem;servi;serviste;serviu;servimos;servistes;serviram;servia;servias;servia;servíamos;servíeis;serviam;servira;serviras;servira;servíramos;servíreis;serviram;servirei;servirás;servirá;serviremos;servireis;servirão;sirva;sirvas;sirva;sirvamos;sirvais;sirvam;servisse;servisses;servisse;servíssemos;servísseis;servissem;servir;servires;servir;servirmos;servirdes;servirem;servir;servires;servir;servirmos;servirdes;servirem;serviria;servirias;serviria;serviríamos;serviríeis;serviriam;serve;sirva;sirvamos;servi;sirvam;sirvas;sirva;sirvamos;sirvais;sirvam;servindo;servido
tirar;;;R;tiro;tiras;tira;tiramos;tirais;tiram;tirei;tiraste;tirou;tirámos;tirastes;tiraram;tirava;tiravas;tirava;tirávamos;tiráveis;tiravam;tirara;tiraras;tirara;tiráramos;tiráreis;tiraram;tirarei;tirarás;tirará;tiraremos;tirareis;tirarão;tire;tires;tire;tiremos;tireis;tirem;tirasse;tirasses;tirasse;tirássemos;tirásseis;tirassem;tirar;tirares;tirar;tirarmos;tirardes;tirarem;tirar;tirares;tirar;tirarmos;tirardes;tirarem;tiraria;tirarias;tiraria;tiraríamos;tiraríeis;tirariam;tira;tire;tiremos;tirai;tirem;tires;tire;tiremos;tireis;tirem;tirando;tirado
responder;;;R;respondo;respondes;responde;respondemos;respondeis;respondem;respondi;respondeste;respondeu;respondemos;respondestes;responderam;respondia;respondias;respondia;respondíamos;respondíeis;respondiam;respondera;responderas;respondera;respondêramos;respondêreis;responderam;responderei;responderás;responderá;responderemos;respondereis;responderão;responda;respondas;responda;respondamos;respondais;respondam;respondesse;respondesses;respondesse;respondêssemos;respondêsseis;respondessem;responder;responderes;responder;respondermos;responderdes;responderem;responder;responderes;responder;respondermos;responderdes;responderem;responderia;responderias;responderia;responderíamos;responderíeis;responderiam;responde;responda;respondamos;respondei;respondam;respondas;responda;respondamos;respondais;respondam;respondendo;respondido
obter;;;I;obtenho;obténs;obtém;obtemos;obtendes;obtêm;obtive;obtiveste;obteve;obtivemos;obtivestes;obtiveram;obtinha;obtinhas;obtinha;obtínhamos;obtínheis;obtinham;obtivera;obtiveras;obtivera;obtivéramos;obtivéreis;obtiveram;obterei;obterás;obterá;obteremos;obtereis;obterão;obtenha;obtenhas;obtenha;obtenhamos;obtenhais;obtenham;obtivesse;obtivesses;obtivesse;obtivéssemos;obtivésseis;obtivessem;obtiver;obtiveres;obtiver;obtivermos;obtiverdes;obtiverem;obter;obteres;obter;obtermos;obterdes;obterem;obteria;obterias;obteria;obteríamos;obteríeis;obteriam;obtém;obtenha;obtenhamos;obtende;obtenham;obtenhas;obtenha;obtenhamos;obtenhais;obtenham;obtendo;obtido
desenvolver;;;R;desenvolvo;desenvolves;desenvolve;desenvolvemos;desenvolveis;desenvolvem;desenvolvi;desenvolveste;desenvolveu;desenvolvemos;desenvolvestes;desenvolveram;desenvolvia;desenvolvias;desenvolvia;desenvolvíamos;desenvolvíeis;desenvolviam;desenvolvera;desenvolveras;desenvolvera;desenvolvêramos;desenvolvêreis;desenvolveram;desenvolverei;desenvolverás;desenvolverá;desenvolveremos;desenvolvereis;desenvolverão;desenvolva;desenvolvas;desenvolva;desenvolvamos;desenvolvais;desenvolvam;desenvolvesse;desenvolvesses;desenvolvesse;desenvolvêssemos;desenvolvêsseis;desenvolvessem;desenvolver;desenvolveres;desenvolver;desenvolvermos;desenvolverdes;desenvolverem;desenvolver;desenvolveres;desenvolver;desenvolvermos;desenvolverdes;desenvolverem;desenvolveria;desenvolverias;desenvolveria;desenvolveríamos;desenvolveríeis;desenvolveriam;desenvolve;desenvolva;desenvolvamos;desenvolvei;desenvolvam;desenvolvas;desenvolva;desenvolvamos;desenvolvais;desenvolvam;desenvolvendo;desenvolvido
explicar;;;R;explico;explicas;explica;explicamos;explicais;explicam;expliquei;explicaste;explicou;expliquámos;explicastes;explicaram;explicava;explicavas;explicava;expliquávamos;expliquáveis;explicavam;explicara;explicaras;explicara;expliquáramos;expliquáreis;explicaram;explicarei;explicarás;explicará;explicaremos;explicareis;explicarão;explique;expliques;explique;expliquemos;expliqueis;expliquem;explicasse;explicasses;explicasse;expliquássemos;expliquásseis;explicassem;explicar;explicares;explicar;explicarmos;explicardes;explicarem;explicar;explicares;explicar;explicarmos;explicardes;explicarem;explicaria;explicarias;explicaria;explicaríamos;explicaríeis;explicariam;explica;explique;expliquemos;explicai;expliquem;expliques;explique;expliquemos;expliqueis;expliquem;explicando;explicado
descobrir;;.;I;descubro;descobres;descobre;descobrimos;descobris;descobrem;descobri;descobriste;descobriu;descobrimos;descobristes;descobriram;descobria;descobrias;descobria;descobríamos;descobríeis;descobriam;descobrira;descobriras;descobrira;descobríramos;descobríreis;descobriram;descobrirei;descobrirás;descobrirá;descobriremos;descobrireis;descobrirão;descubra;descubras;descubra;descubramos;descubrais;descubram;descobrisse;descobrisses;descobrisse;descobríssemos;descobrísseis;descobrissem;descobrir;descobrires;descobrir;descobrirmos;descobrirdes;descobrirem;descobrir;descobrires;descobrir;descobrirmos;descobrirdes;descobrirem;descobriria;descobririas;descobriria;descobriríamos;descobriríeis;descobririam;descobre;descubra;descubramos;descobri;descubram;descubras;descubra;descubramos;descubrais;descubram;descobrindo;descoberto
acreditar;;Eu acredito em alienígenos.;R;acredito;acreditas;acredita;acreditamos;acreditais;acreditam;acreditei;acreditaste;acreditou;acreditámos;acreditastes;acreditaram;acreditava;acreditavas;acreditava;acreditávamos;acreditáveis;acreditavam;acreditara;acreditaras;acreditara;acreditáramos;acreditáreis;acreditaram;acreditarei;acreditarás;acreditará;acreditaremos;acreditareis;acreditarão;acredite;acredites;acredite;acreditemos;acrediteis;acreditem;acreditasse;acreditasses;acreditasse;acreditássemos;acreditásseis;acreditassem;acreditar;acreditares;acreditar;acreditarmos;acreditardes;acreditarem;acreditar;acreditares;acreditar;acreditarmos;acreditardes;acreditarem;acreditaria;acreditarias;acreditaria;acreditaríamos;acreditaríeis;acreditariam;acredita;acredite;acreditemos;acreditai;acreditem;acredites;acredite;acreditemos;acrediteis;acreditem;acreditando;acreditado
levantar;;Eu me levanto todo dia às 07:00.;R;levanto;levantas;levanta;levantamos;levantais;levantam;levantei;levantaste;levantou;levantámos;levantastes;levantaram;levantava;levantavas;levantava;levantávamos;levantáveis;levantavam;levantara;levantaras;levantara;levantáramos;levantáreis;levantaram;levantarei;levantarás;levantará;levantaremos;levantareis;levantarão;levante;levantes;levante;levantemos;levanteis;levantem;levantasse;levantasses;levantasse;levantássemos;levantásseis;levantassem;levantar;levantares;levantar;levantarmos;levantardes;levantarem;levantar;levantares;levantar;levantarmos;levantardes;levantarem;levantaria;levantarias;levantaria;levantaríamos;levantaríeis;levantariam;levanta;levante;levantemos;levantai;levantem;levantes;levante;levantemos;levanteis;levantem;levantando;levantado
mandar;;A mãe mandou o filho estudar.;R;mando;mandas;manda;mandamos;mandais;mandam;mandei;mandaste;mandou;mandámos;mandastes;mandaram;mandava;mandavas;mandava;mandávamos;mandáveis;mandavam;mandara;mandaras;mandara;mandáramos;mandáreis;mandaram;mandarei;mandarás;mandará;mandaremos;mandareis;mandarão;mande;mandes;mande;mandemos;mandeis;mandem;mandasse;mandasses;mandasse;mandássemos;mandásseis;mandassem;mandar;mandares;mandar;mandarmos;mandardes;mandarem;mandar;mandares;mandar;mandarmos;mandardes;mandarem;mandaria;mandarias;mandaria;mandaríamos;mandaríeis;mandariam;manda;mande;mandemos;mandai;mandem;mandes;mande;mandemos;mandeis;mandem;mandando;mandado
estudar;;Ela estuda 4 horas por dia.;R;estudo;estudas;estuda;estudamos;estudais;estudam;estudei;estudaste;estudou;estudámos;estudastes;estudaram;estudava;estudavas;estudava;estudávamos;estudáveis;estudavam;estudara;estudaras;estudara;estudáramos;estudáreis;estudaram;estudarei;estudarás;estudará;estudaremos;estudareis;estudarão;estude;estudes;estude;estudemos;estudeis;estudem;estudasse;estudasses;estudasse;estudássemos;estudásseis;estudassem;estudar;estudares;estudar;estudarmos;estudardes;estudarem;estudar;estudares;estudar;estudarmos;estudardes;estudarem;estudaria;estudarias;estudaria;estudaríamos;estudaríeis;estudariam;estuda;estude;estudemos;estudai;estudem;estudes;estude;estudemos;estudeis;estudem;estudando;estudado
atingir;;Você atingiu a meta do mês?;R;atinjo;atinges;atinge;atingimos;atingis;atingem;atingi;atingiste;atingiu;atingimos;atingistes;atingiram;atingia;atingias;atingia;atingíamos;atingíeis;atingiam;atingira;atingiras;atingira;atingíramos;atingíreis;atingiram;atingirei;atingirás;atingirá;atingiremos;atingireis;atingirão;atinja;atinjas;atinja;atinjamos;atinjais;atinjam;atingisse;atingisses;atingisse;atingíssemos;atingísseis;atingissem;atingir;atingires;atingir;atingirmos;atingirdes;atingirem;atingir;atingires;atingir;atingirmos;atingirdes;atingirem;atingiria;atingirias;atingiria;atingiríamos;atingiríeis;atingiriam;atinge;atinja;atinjamos;atingi;atinjam;atinjas;atinja;atinjamos;atinjais;atinjam;atingindo;atingido
sofrer;;;R;sofro;sofres;sofre;sofremos;sofreis;sofrem;sofri;sofreste;sofreu;sofremos;sofrestes;sofreram;sofria;sofrias;sofria;sofríamos;sofríeis;sofriam;sofrera;sofreras;sofrera;sofrêramos;sofrêreis;sofreram;sofrerei;sofrerás;sofrerá;sofreremos;sofrereis;sofrerão;sofra;sofras;sofra;soframos;sofrais;sofram;sofresse;sofresses;sofresse;sofrêssemos;sofrêsseis;sofressem;sofrer;sofreres;sofrer;sofrermos;sofrerdes;sofrerem;sofrer;sofreres;sofrer;sofrermos;sofrerdes;sofrerem;sofreria;sofrerias;sofreria;sofreríamos;sofreríeis;sofreriam;sofre;sofra;soframos;sofrei;sofram;sofras;sofra;soframos;sofrais;sofram;sofrendo;sofrido
parar;;;R;paro;paras;para;paramos;parais;param;parei;paraste;parou;parámos;parastes;pararam;parava;paravas;parava;parávamos;paráveis;paravam;parara;pararas;parara;paráramos;paráreis;pararam;pararei;pararás;parará;pararemos;parareis;pararão;pare;pares;pare;paremos;pareis;parem;parasse;parasses;parasse;parássemos;parásseis;parassem;parar;parares;parar;pararmos;parardes;pararem;parar;parares;parar;pararmos;parardes;pararem;pararia;pararias;pararia;pararíamos;pararíeis;parariam;para;pare;paremos;parai;parem;pares;pare;paremos;pareis;parem;parando;parado
bater;;;R;bato;bates;bate;batemos;bateis;batem;bati;bateste;bateu;batemos;batestes;bateram;batia;batias;batia;batíamos;batíeis;batiam;batera;bateras;batera;batêramos;batêreis;bateram;baterei;baterás;baterá;bateremos;batereis;baterão;bata;batas;bata;batamos;batais;batam;batesse;batesses;batesse;batêssemos;batêsseis;batessem;bater;bateres;bater;batermos;baterdes;baterem;bater;bateres;bater;batermos;baterdes;baterem;bateria;baterias;bateria;bateríamos;bateríeis;bateriam;bate;bata;batamos;batei;batam;batas;bata;batamos;batais;batam;batendo;batido
